productName,rating,reviewText
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1, damaged product
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1, value money passable tiny phone wider enough please see length widths specification specificallyvery slow chargingnot good cameraif planning students class worthless
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1, description said fingerprint recognition facility didnt faciity one main reasons deciding buy
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1, damaged product
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1, value money passable tiny phone wider enough please see length widths specification specificallyvery slow chargingnot good cameraif planning students class worthless
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1, description said fingerprint recognition facility didnt faciity one main reasons deciding buy
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1, thought received second hand mobile second day screen flickered sixth day screen black mobile opening switching tried everything mobile trash never recommend want waste money buy earphones came mobile even mobile looked old hated never buy
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1,mobile software problem seems within 10 days usage hangs lot also mic problem attend call caller end wont able hear need restart mobile couple time works cant use like longer run please help return product handover mobile factory reset please review help soon possible
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1,dont buy mobile amazon fully aware abaout product buying entertain returningreplacement pathetic customer support customer care servicevery upset amazon making money india cheap policiesthey asking download waste app phone 18 rating play store asking permission personal informationand yes mobile cheap quality sold due less option indian market samsung mobile left market dont want buy chinese mobile single indian mobile available indian marketsamsung making good money cheap quality mobile phones
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1, poor audio quality ordered parents microphone speaker volume poor designinstead speakers charging jeck thay vack side call comes one able hear phone keot backdespite buying via prime fulfilled amazon refused return item
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1,personal genuine reviewsamsung overcharged phone brand people love indiasamsung overpriced every phone india using anti china sentiment indian peopleif buy phone remember take total 4 hours charge fullycharger 5v 1ampsamsung price 85k phone doesnt even satisfy days criteriacamera also bakwasresolution quality really hate using think 480ppi resolution also mother hd phone clear m01performance also upto markall disadvantages itbut one advantage also antichina get samsung name non chinese brandthats advantage buy want let samsung use anti china sentiment let samsung earn money via overpriced
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1,bought one 25th august reviewing 22nd septemberbattery life pocket friendly size good thing phone headphone jack behaving erraticallyit automatically reduces increase volume audiovideo played despite pressing hard keys trying different earphones problem persistseven factory resetalso charging socket stopped working properly place phone specific angle keep holding hands position charging phonescrew amazon7 days replacement policy good enough
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",1,mobile delivered 23jul2020 9 days use volume key power key working worst product services samsung amazon option replacement distributing defective products please refrain buying mobile
